,date,text,sentiment
162,2019-06-18 13:33:17,game of thrones makes us question evil in the real world | opinion,-0.39999999999999997
163,2019-06-18 12:59:06,arya should have been the one to 86 cersei not gravity (note i did not make this image credit goes to the original graphic designer),0.1875
168,2019-06-18 09:50:53,hey twitter i just watched the last episode of a bit sometimes things go bad but it is necessary too the end of one is the start of another,-0.23333333333333328
169,2019-06-18 09:49:07,arya stark queen of the new world jon snow king of free folks sansa stark queen in the north brandon stark king…,-0.012727272727272731
170,2019-06-18 08:54:55,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
171,2019-06-18 08:49:31,starks won the game :red_heart:,-0.4
174,2019-06-18 07:21:01,no matter what happens with the new service as is will lose all of the value it brings to the market so what is hbo to do next |,0.06818181818181818
176,2019-06-18 07:11:10,just an fyi my chanel is closed and i would have said this sooner but i did not know this twitter existed have a grand life,0.2
180,2019-06-18 06:34:47,jon snow apologizes for game of thrones season 8 in hilarious fan edit …,0.04999999999999999
181,2019-06-18 06:27:34,jon snow apologizes for game of thrones season 8 in hilarious fan edit,0.04999999999999999
182,2019-06-18 06:21:37,_j jamie lannister's kingslayer level is so high he tried to kill the king 8 seasons ago:face_with_tears_of_joy::face_with_tears_of_joy: …,0.16
183,2019-06-18 05:56:33,new arrival game of thrones 8 daenerys targaryen cosplay costume detail overview,-0.13181818181818183
184,2019-06-18 05:36:58,how should have ended well better for a start,0.5
186,2019-06-18 04:58:59,events in entertainment that ended this year shows that i will miss 1 2 3 4 on nba tv 5 criminal minds 6 orange is the new black 7 arrow 8 9 suits 10 supernatural 11 veep :crying_face:,-0.06590909090909092
187,2019-06-18 04:57:43,i cannot top this and that is the point,0.5
189,2019-06-18 04:35:24,psalm 147 11 the lord delights in those who fear him who put their hope in his unfailing love,0.5
190,2019-06-18 04:21:04,bran the broken okayy but why jon's ending cersei did not deserve that type of peace sansa stark has done absolutely nothing for 8 seasons and i will die for arya :growing_heart: :wolf_face:,-0.13333333333333336
191,2019-06-18 04:16:18,nice try :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0.6
194,2019-06-18 03:53:22,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
195,2019-06-18 03:32:06,yep i'm still bitter about it,-0.1
197,2019-06-18 01:47:16,did not expect that would be better than,0.5
199,2019-06-18 01:41:45,everybody let us say thank you to the best cast ever,1.0
200,2019-06-18 01:39:30,time to watch the dumpster awards is great though _williams bett…,0.8
201,2019-06-18 01:31:23,time to watch the dumpster awards is great though _williams bett…,0.8
202,2019-06-18 01:28:43,time to watch the dumpster awards is great though _williams bett…,0.8
203,2019-06-18 01:24:18,special episode on what did you guys what to see,0.35714285714285715
205,2019-06-18 01:04:56,time to watch the dumpster awards is great though _williams better win,0.7000000000000001
206,2019-06-18 00:59:09,and have a similarity ha ha ha epic failure,-0.10833333333333335
207,2019-06-18 00:35:01,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
208,2019-06-18 00:29:27,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
211,2019-06-18 00:04:10,thank you to the most incredible cast for working so hard to bring our favourite characters to life :red_heart: #…,0.3694444444444444
212,2019-06-17 23:52:41,my fave game of thrones and the real world | _writes …,-0.1
213,2019-06-17 23:50:46,everybody let us say thank you to the best cast ever,1.0
215,2019-06-17 21:56:27,season 8 is 's favorite season of game of thrones,0.04999999999999999
216,2019-06-17 20:50:48,we are now available on itunes and all apps that use this library come join the party …,0.4
217,2019-06-17 20:48:04,the true king of the seven kingdom we love you,0.425
218,2019-06-17 20:27:25,best brother ever he always have some sweets for sister :face_savoring_food::red_heart:,1.0
219,2019-06-17 20:16:53,i hope hbo and their producers realize how they screwed up an amazing story and apologize fo…,0.6000000000000001
221,2019-06-17 20:06:08,as long as the films do not overtake the books if they make a prequel trilogy we all know how that can turn out :grimacing_face: …,-0.05
222,2019-06-17 19:58:50,as long as the films do not overtake the books if they make a prequel trilogy we all know how that can turn out :grimacing_face:,-0.05
223,2019-06-17 19:55:10,bran the broken :face_with_tears_of_joy:,-0.4
225,2019-06-17 19:13:48,another example of deepfake this time jon snow apologized for season 8 of game of thrones …,-0.4
227,2019-06-17 18:37:08,just finished and the writers completely destroyed jon snow's character arc most of the character arcs were destroyed so many unanswered questions,0.25
228,2019-06-17 18:32:27,drogon destroying the iron throne because new king bran got his own seat …,0.1787878787878788
229,2019-06-17 18:29:55,everybody let us say thank you to the best cast ever,1.0
230,2019-06-17 18:18:25,everyone wanted a better death for her,0.5
232,2019-06-17 17:42:38,unable to let go neither are we so we talk about it now that the dust has settled on the series finale and share our thoughts on how it did and should have ended,-0.5
234,2019-06-17 17:22:37,d&d really ended game of thrones like that everyone,-0.1
235,2019-06-17 17:19:51,another example of deepfake this time jon snow apologized for season 8 of game of thrones …,-0.4
237,2019-06-17 16:37:36,wen bored at work,-0.5
238,2019-06-17 16:27:02,lena headey on 'game of thrones' ending 'i wanted a better death' for cersei,0.04999999999999999
239,2019-06-17 16:25:41,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
240,2019-06-17 16:19:48,is now in the position to destroy the political career of any opponent he chooses until they mount a backbench revolt after the general election,-0.049999999999999996
241,2019-06-17 16:05:39,thanks for adding your quiz to our events page …,0.2
242,2019-06-17 16:00:33,thanks for adding your quiz to our events page …,0.2
245,2019-06-17 15:33:25,another example of deepfake this time jon snow apologized for season 8 of game of thrones …,-0.4
248,2019-06-17 15:21:56,thanks for adding your quiz to our events page,0.2
249,2019-06-17 15:17:51,review game of thrones the iron throne por htt…,-0.4
251,2019-06-17 14:29:10,game of thrones' star lena headey 'wanted better' death for cersei got writers “really lena you dont want your character to be crushed to death by a building what kind of a pampered celeb are you ”,0.15999999999999998
252,2019-06-17 14:18:34,and now his watch has ended check out uk based artist robert ball's 'beautiful death' poster for the plus the other 5 he made for season 8 this series completes his 74 poster collection tt started in 2011,0.3625
253,2019-06-17 14:00:57,the voice sounds so similar to kit harington's jon snow accent it is hard to discern it from the real thing,-0.030555555555555558
254,2019-06-17 13:47:52,now available for your listening enjoyment the quad m show ep 156 download or stream from your favorite podcast catchi…,0.45
256,2019-06-17 12:45:44,the most successful part of was getting me pumped about the characters' endings in relation to the bo…,0.625
258,2019-06-17 12:03:00,scene is so similar looks like carbon copy from an old indian tv show aladdin must watch,0.05
260,2019-06-17 10:50:00,"this is 1994 d/d error or catastrophic die failure with breaks n clash lincoln penny "" "" edition",-0.3166666666666667
261,2019-06-17 10:26:53,the mother of dragons deserved better :dragon::red_heart:,0.5
262,2019-06-17 10:13:42,great night presenting and hosting for the movie prop warehouse wun wun and the predator from avp amongst others the actor ian whyte _whyte,0.8
263,2019-06-17 08:51:10,even d&d are smarter than inc they didnt make jon snow the king of 7 kingdoms because he didnt want it inc at least learn from got ),-0.3
265,2019-06-17 08:42:35,game of thrones lovers where does this place look like mine kings landing,-0.4
266,2019-06-17 08:28:39,the best speech ever in game of thrones :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,0.3
267,2019-06-17 08:02:34,_shaon this would have made absolute sense,0.2
268,2019-06-17 07:04:00,another example of deepfake this time jon snow apologized for season 8 of game of thrones …,-0.4
272,2019-06-17 06:59:59,another example of deepfake this time jon snow apologized for season 8 of game of thrones …,-0.4
274,2019-06-17 06:47:17,another example of deepfake this time jon snow apologized for season 8 of game of thrones via startgrowthhack,-0.4
275,2019-06-17 06:42:28,another example of deepfake this time jon snow apologized for season 8 of game of thrones,-0.4
281,2019-06-17 04:54:52,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
283,2019-06-17 04:47:10,8 seasons just so westeros could elect some cereal grain as their next king,0.4
284,2019-06-17 04:14:50,"the last this brienne wrote about jamie was ""smashed this pussy lol"" bet",0.4
292,2019-06-17 02:10:42,they could not have done a worse job,-0.4
294,2019-06-17 01:41:55,__dil how i feel seeing jaime's body after convincing myself he was alive,0.3
295,2019-06-17 01:40:37,(essentially) a month after the know many were disappointed with the ending but it did not take the…,-0.08333333333333333
296,2019-06-17 01:28:01,lena headey on 'game of thrones' ending 'i wanted a better death' for cersei,0.04999999999999999
297,2019-06-17 01:25:02,do you know the real legend of king arthur or just the imitations discover the series,0.2
298,2019-06-17 01:20:44,@_ps_snape sometimes duty is death of love,0.5
299,2019-06-17 00:49:09,finally finished and i honestly thought the was an amazing wrap up season 8 might be my favorite season all in all the show was a hell of a ride,0.42500000000000004
300,2019-06-17 00:47:51,i see why people complain about the though people will complain about just any series that does not end the way they like what i'm tryna say is read the books even if you have read them before read them again sorry for bothering you :beaming_face_with_smiling_eyes:,-0.5
302,2019-06-17 00:31:23,a song of meh my game of thrones series finale review via,-0.4
304,2019-06-17 00:06:24,mourn the ending of game of thrones,-0.4
305,2019-06-16 23:52:47,my new video #يوم_الاب_العالمي _keepspinninginseoul_day2,0.13636363636363635
306,2019-06-16 23:20:10,_sith305 game of thrones night king and theon recreation …,-0.4
307,2019-06-16 23:18:15,why everyone was so unsatisfied and angry by the ending of i feel it is the best senario ever :smiling_face_with_heart-eyes::clapping_hands_medium_skin_tone:…,0.25
309,2019-06-16 22:59:01,this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
310,2019-06-16 22:42:50,_sith305 game of thrones night king and theon recreation …,-0.4
311,2019-06-16 22:42:15,_nejad farewell game of thrones thank you for 8 years of entertainment,-0.4
312,2019-06-16 22:33:32,i just want to see if they make a new series with arya called west of westeros i'll pay good money to see that series …,0.41818181818181815
313,2019-06-16 22:26:30,extra wide teeth comb pocket size …,-0.05
315,2019-06-16 22:13:50,one of the best and powerful scenes in got:clapping_hands: i kept repeating it crying smiling just mixed feelings peter is a really g…,0.26
316,2019-06-16 22:13:10,r u fucking kidding me wtfuck you dumb b the post may contain spoilers the headline gives the…,-0.4875
318,2019-06-16 21:41:41,queen in the north lots of symbolism here chose the colors that mostly represent house stark drawing the armor was th…,0.15
319,2019-06-16 21:41:10,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
320,2019-06-16 21:14:15,btw while watching and the with the toronto campaign i must say i was hoping for some local kosovo references seemed only natural,0.03333333333333333
321,2019-06-16 21:13:54,sam sitcho dumbass back down,-0.07777777777777779
323,2019-06-16 20:23:52,queen in the north lots of symbolism here chose the colors that mostly represent house stark drawing the armor was th…,0.15
324,2019-06-16 20:23:22,queen in the north lots of symbolism here chose the colors that mostly represent house stark drawing the armor was th…,0.15
325,2019-06-16 20:20:10,just watched the last episode of did i blink did i miss something it made the seem positively well considered and overly long so glad i spent these last few years watching it thanks for nothing,0.07215909090909091
327,2019-06-16 19:58:15,some of you guys asked for more got this might be the last one for a while or at least until we get any interesting news regarding the show game of thrones the assassination of jon & daenerys rant via,0.059999999999999984
328,2019-06-16 19:50:29,turns out jon snow really did know nothing after all either that or david benioff and d b weiss were so consumed with daenery's character assassination that they forgot about this scene and so many others,0.35
331,2019-06-16 19:30:24,game of thrones night king,-0.4
332,2019-06-16 18:50:44,still in my boxers having just watched the i love,0.5
333,2019-06-16 18:49:27,we wanted a better ending full stop,0.425
335,2019-06-16 18:39:49,we all expected a better death,0.2
339,2019-06-16 17:52:08,does and have a joint wardrobe ) this to much for my shipper heart :red_heart:,0.2
340,2019-06-16 17:01:34,listen recover from with this week's metal mix featuring through the noise blacklist 9 genus ordinis dei nereis a breach of silence and many more on our total eclipse spotify playlist,0.3333333333333333
341,2019-06-16 16:48:06,now available for your listening enjoyment the quad m show ep 156 download or stream from your favorite podcast catchi…,0.45
342,2019-06-16 15:52:30,trish's arc was exciting then painful to watch but it was done in such a way that it felt organic and earned i kept comparing it to the way dnd crapped it for dany,-0.13333333333333333
343,2019-06-16 15:34:01,it is very strong,0.5633333333333334
344,2019-06-16 15:09:14,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
345,2019-06-16 14:28:46,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
347,2019-06-16 13:04:39,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
348,2019-06-16 12:31:29,let us talk about this cute little precious baby :red_heart::red_heart:,0.2708333333333333
349,2019-06-16 12:25:07,sick,-0.7142857142857143
350,2019-06-16 11:54:32,"and it was a ""wise"" ending a classic move to be fair to all characters especialy giving jon snow a full circle ending as a night's watch man so the audience could feel home",0.47916666666666663
351,2019-06-16 11:49:30,"i really like the ""king's landing"" battle scene episode total chaos fire everywhere human body burned no silly dialogues just total fear and worry the unsullied showed no mercy",0.09
355,2019-06-16 10:56:18,you may agree or not most of you cheapsters started watching as a porn struck series:smirking_face: and then ended it by whining about the possibilities of alternate endings :dragon_face:,-0.125
356,2019-06-16 09:00:09,new video :thumbs_up:,0.13636363636363635
357,2019-06-16 08:42:50,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
358,2019-06-16 08:35:36,this was my predictions for how was going to end i think my predictions are better than what we actually got :speak-no-evil_monkey:,0.25
359,2019-06-16 08:22:56,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
360,2019-06-16 08:11:34,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
361,2019-06-16 08:00:30,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
362,2019-06-16 07:44:09,halo i do not want to talk right now i finally finished but you are the one who is calling,0.14285714285714285
363,2019-06-16 07:34:12,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
364,2019-06-16 07:20:04,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
365,2019-06-16 07:13:05,why everyone was so unsatisfied and angry by the ending of i feel it is the best senario ever :smiling_face_with_heart-eyes::clapping_hands_medium_skin_tone:…,0.25
366,2019-06-16 06:41:10,dubrovnik is insane irl (and not burned down as seen in ) :fire::dragon::crossed_swords::wolf_face::snowflake:,-0.5777777777777778
367,2019-06-16 06:11:04,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
368,2019-06-16 06:05:27,friend tell me a joke me got s8 friend hahaha,0.2
370,2019-06-16 05:10:18,that is it i found the ending we all deserve i made myself forget the actual ending and convinced myself that this was how the last season actually went down i am now satisfied :dagger::crown:,0.06888888888888889
372,2019-06-16 04:21:42,legends never die goodbye daenerys targaryen you will always be remembered as the brave inspirational kind hearted queen…,0.6333333333333333
373,2019-06-16 04:05:49,say what you will about the the john hughes homage was a bold choice to end on,0.3333333333333333
374,2019-06-16 04:02:43,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
375,2019-06-16 03:48:59,they really just gave bran who is the weird ass cripple that did not do shit this entire season the iron throne and killed…,-0.125
376,2019-06-16 03:42:25,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
377,2019-06-16 03:24:10,my dramatic ass getting of the sofa when finishing the last episode of and cancelling my now tv subscript…,-0.21666666666666665
378,2019-06-16 03:10:04,_sith305 game of thrones night king and theon recreation …,-0.4
379,2019-06-16 03:00:10,fist bump :right-facing_fist::left-facing_fist: would never happen on but it did on for today's thanks to …,0.2
381,2019-06-16 01:57:05,_sith305 game of thrones night king and theon recreation …,-0.4
382,2019-06-16 01:37:29,when tyrion named bran the most worthy leader i swear sansa and arya's expressions were the face of every woman who's…,0.41666666666666663
384,2019-06-16 01:24:03,do not mind me i'm just crying hearing the theme for the last time in a new episode :loudly_crying_face::loudly_crying_face:,-0.02121212121212122
386,2019-06-16 00:45:56,_sith305 game of thrones night king and theon recreation …,-0.4
387,2019-06-16 00:08:58,_sith305 game of thrones night king and theon recreation …,-0.4
388,2019-06-15 23:41:58,endgame really i do not think so _,-0.1
389,2019-06-15 23:34:57,really,0.2
392,2019-06-15 23:28:10,_sith305 game of thrones night king and theon recreation …,-0.4
393,2019-06-15 23:19:26,_sith305 game of thrones night king and theon recreation …,-0.4
395,2019-06-15 23:09:15,game of thrones night king and theon recreation _williams,-0.4
396,2019-06-15 22:59:03,this is single handedly the most bad ass scene in game of thrones this is was made daenerys the le…,-0.16785714285714282
397,2019-06-15 22:42:10,_ this guy just perfected the game of thrones characters :face_with_tears_of_joy::face_with_tears_of_joy: which did he get the most,0.04999999999999999
398,2019-06-15 22:17:17,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
400,2019-06-15 22:05:11,"""bend the knee"" daenarys targarayan ""winter is coming"" jon snow ""for the night is dark and is full of terrors"" mellisandra…",0.09999999999999999
