,date,text
64,2019-06-19 16:13:17,RT @CBR: Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
65,2019-06-19 16:10:07,Game of Thrones Prequel Series Begins Filming https://t.co/aHnfN9xKKd #GameofThrones #GameOfThronesFinale https://t.co/rNh0q88MQZ
66,2019-06-19 15:46:23,"RT @samjunyarts: Twitter help retweet until he it go viral and  he sees it coloured ballpen drawing of @Peter_Dinklage 

#GoT
#Gameofthrone…"
67,2019-06-19 15:03:24,"#GameOfThrones Season 8 Recap. Watch it now by clicking the link below 👇👇👇

#GoTS8 #got8 #hbo #GOT #GameofThronesSeason8 #GameOfThronesFinale 

https://t.co/dAqT7SiPg8"
68,2019-06-19 14:59:11,"RT @samjunyarts: Twitter help retweet until he it go viral and  he sees it coloured ballpen drawing of @Peter_Dinklage 

#GoT
#Gameofthrone…"
69,2019-06-19 14:56:18,"#GameOfThrones Season 8 Recap. Watch it now by clicking the link below 👇👇👇

#GoTS8 #got8 #hbo #GOT #GameofThronesSeason8 #GameOfThronesFinale 

https://t.co/N8D02OenLu"
70,2019-06-19 14:51:19,"(57/10)+ #GOT MEGATHREAD

Also gonna reshare this Season 8 review I made last month as a preview for my MASSIVE, EXTENDED series called ""Game Of Thrones: A Nuanced Critique,"" which I am working on the outline for: https://t.co/XdHaI8Vs43
#GameOfThrones #GameOfThronesFinale"
71,2019-06-19 14:49:16,"(56/10)+ #GOT MEGATHREAD

Gonna update this thread to let people know Cersei deserved a better death and even Lena Headey says so (at least that's what the article implies): https://t.co/bPJk85R1ze
#GameOfThrones #GameOfThronesFinale #GameOfThronesSeason8 #Cersei"
72,2019-06-19 14:33:11,RT @IRONLOKl: jon snow through the seasons #GameOfThronesFinale #TheFinalEpisode https://t.co/W6nehHTkEE
73,2019-06-19 14:29:29,"Fire cannot kill a dragon,but love can.
#GameOfThronesFinale"
74,2019-06-19 14:11:42,RT @GuinnAmanda: What Brienne of Tarth REALLY wrote about Jamie..#GameOfThrones #GameOfThronesFinale https://t.co/5Ksa5fR3sa
75,2019-06-19 14:03:40,I felt the same way in the weeks leading up to the #GameOfThronesFinale https://t.co/oIAPqgAmco
76,2019-06-19 13:17:01,RT @Edwardjns22: The 'Game of Thrones' prequel filming has begun and fans will recognize the location - CNN #GoTFinale #GoT #GOTfinal #Game…
77,2019-06-19 13:07:46,"STORM OF STEEL: Powerful combat memoir.

Click link: 
https://t.co/o9FkSv164E

  #Endgame #GameofThrones #GamesOfThrones #GameOfTrones  #GameOfThronesFinale #TheFinalEpisode #NBAPlayoffs #NBADraftLottery #GOTfinal #GOT #GOTS8E6 #GameofThrones #Warriors #Raptors #RaptorsvsWarriors https://t.co/U8iEX1L7yn"
